id,CRIMETYPE
185004,BTFV
137809,BTFV
159499,BTFV
19314,BTFV
6934,BTFV
25168,BTFV
141194,BTFV
171306,BTFV
105833,BTFV
231516,BTFV
214096,BTFV
166350,BTFV
161208,BTFV
64587,BTFV
7646,BTFV
170707,BTFV
108834,BTFV
99951,BTFV
133866,BTFV
217456,BTFV
228811,BTFV
31188,BTFV
9311,BTFV
53025,BTFV
207389,BTFV
181426,BTFV
146571,BTFV
54876,BTFV
140033,BTFV
168524,BTFV
69072,BTFV
126482,BTFV
81676,BTFV
96279,BTFV
18089,BTFV
77066,BTFV
6350,BTFV
194629,BTFV
223922,BTFV
89005,BTFV
149013,BTFV
55136,BTFV
139183,BTFV
151611,BTFV
66495,BTFV
129411,BTFV
4805,BTFV
202137,BTFV
82507,BTFV
51855,BTFV
44063,BTFV
68584,BTFV
195835,BTFV
115227,BTFV
135628,BTFV
128214,BTFV
105423,BTFV
144938,BTFV
3266,BTFV
21260,BTFV
71286,BTFV
32911,BTFV
176393,BTFV
99147,BTFV
6996,BTFV
210853,BTFV
18391,BTFV
39431,BTFV
169172,BTFV
43512,BTFV
4154,BTFV
227527,BTFV
7821,BTFV
176644,BTFV
6040,BTFV
111317,BTFV
53947,BTFV
63614,BTFV
48290,BTFV
114416,BTFV
130616,BTFV
54541,BTFV
178513,BTFV
74135,BTFV
39538,BTFV
85699,BTFV
13710,BTFV
52961,BTFV
199326,BTFV
102296,BTFV
148958,BTFV
37375,BTFV
114089,BTFV
187521,BTFV
2342,BTFV
193857,BTFV
66642,BTFV
38046,BTFV
83342,BTFV
23207,BTFV
206809,BTFV
92454,BTFV
13307,BTFV
238235,BTFV
234045,BTFV
112846,BTFV
64573,BTFV
208211,BTFV
190364,BTFV
2727,BTFV
10248,BTFV
107390,BTFV
204351,BTFV
80813,BTFV
36217,BTFV
48256,BTFV
206587,BTFV
108534,BTFV
104858,BTFV
34838,BTFV
31983,BTFV
164269,BTFV
192225,BTFV
95894,BTFV
20297,BTFV
141635,BTFV
118393,BTFV
88386,BTFV
76493,BTFV
213757,BTFV
81793,BTFV
127181,BTFV
137247,BTFV
137252,BTFV
32146,BTFV
51692,BTFV
76408,BTFV
47865,BTFV
125573,BTFV
166793,BTFV
62449,BTFV
7641,BTFV
230598,BTFV
91072,BTFV
218136,BTFV
96850,BTFV
85532,BTFV
107500,BTFV
62541,BTFV
188566,BTFV
235059,BTFV
237282,BTFV
150432,BTFV
75458,BTFV
44568,BTFV
18891,BTFV
216078,BTFV
103019,BTFV
41309,BTFV
184413,BTFV
75287,BTFV
52429,BTFV
95479,BTFV
80,BTFV
209243,BTFV
220281,BTFV
194414,BTFV
211629,BTFV
7536,BTFV
155884,BTFV
174931,BTFV
193476,BTFV
278,BTFV
152214,BTFV
21002,BTFV
48890,BTFV
222757,BTFV
74161,BTFV
17049,BTFV
44825,BTFV
180805,BTFV
46997,BTFV
8930,BTFV
76945,BTFV
171848,BTFV
163430,BTFV
105451,BTFV
106081,BTFV
88115,BTFV
127841,BTFV
18929,BTFV
153772,BTFV
131766,BTFV
180375,BTFV
224735,BTFV
148789,BTFV
201435,BTFV
235675,BTFV
165802,BTFV
71905,BTFV
141282,BTFV
165276,BTFV
143203,BTFV
207076,BTFV
211670,BTFV
171389,BTFV
181063,BTFV
24870,BTFV
179527,BTFV
39663,BTFV
111443,BTFV
167485,BTFV
55046,BTFV
36805,BTFV
118775,BTFV
185238,BTFV
24447,BTFV
57426,BTFV
210956,BTFV
149679,BTFV
180102,BTFV
162576,BTFV
137570,BTFV
29834,BTFV
133573,BTFV
85002,BTFV
8090,BTFV
153824,BTFV
63637,BTFV
35505,BTFV
45950,BTFV
225184,BTFV
99698,BTFV
142780,BTFV
37008,BTFV
184955,BTFV
63569,BTFV
132682,BTFV
128038,BTFV
66080,BTFV
234596,BTFV
9570,BTFV
125271,BTFV
45874,BTFV
23352,BTFV
53825,BTFV
218411,BTFV
178750,BTFV
57123,BTFV
204147,BTFV
82002,BTFV
109094,BTFV
103684,BTFV
103718,BTFV
98873,BTFV
154176,BTFV
6023,BTFV
177977,BTFV
47983,BTFV
88296,BTFV
91412,BTFV
107347,BTFV
86979,BTFV
190179,BTFV
165041,BTFV
107543,BTFV
110170,BTFV
130941,BTFV
150446,BTFV
128037,BTFV
64038,BTFV
213816,BTFV
204958,BTFV
191653,BTFV
160306,BTFV
168114,BTFV
222958,BTFV
65299,BTFV
33409,BTFV
14072,BTFV
87148,BTFV
199183,BTFV
120829,BTFV
223164,BTFV
43124,BTFV
59621,BTFV
101661,BTFV
184271,BTFV
74820,BTFV
159740,BTFV
342,BTFV
187701,BTFV
128028,BTFV
225819,BTFV
233167,BTFV
30769,BTFV
113308,BTFV
239200,BTFV
151016,BTFV
89632,BTFV
65211,BTFV
138598,BTFV
21977,BTFV
160144,BTFV
169591,BTFV
228677,BTFV
205214,BTFV
68976,BTFV
166372,BTFV
113952,BTFV
85301,BTFV
